Name of the Bacteria,Antibiotic Prescribed,Sensitive (S),Intermediate (I),Resistance (R)
ESCHERICHIA COLI,PIPERACILLIN/TAZO,<=7,8-15,>=16
ESCHERICHIA COLI,TETRACYCLINE,<=2,4-7,>=8
ESCHERICHIA COLI,TOBRAMYCIN,<=1,2-3,>=4
ESCHERICHIA COLI,TRIMETHOPRIM/SULFA,<=1,2-3,>=4
KLEBSIELLA OXYTOCA ,AMOXICILLIN CLAVULANIC ACID,<=2,4-7,>=8
KLEBSIELLA OXYTOCA ,CEFAZOLIN,<=7,8-15,>=16
KLEBSIELLA OXYTOCA ,CEFEPIME,<=3,4-7,>=8
KLEBSIELLA OXYTOCA ,CEFTAZIDIME,<=3,4-7,>=8
KLEBSIELLA OXYTOCA ,CEFTRIAXONE,<=3,4-7,>=8
KLEBSIELLA OXYTOCA ,CIPROFLOXACIN,<=0.25,0.5,>=1
KLEBSIELLA OXYTOCA ,ERTAPENEM,<=0.12,0.25,>=0.5
KLEBSIELLA OXYTOCA ,GENTAMICIN,<=1,2-3,>=4
KLEBSIELLA OXYTOCA ,IMIPENEM,<=0.12,0.5-0.25,>=1
KLEBSIELLA OXYTOCA ,LEVOFLOXACIN,<=0.5,1,>=2
KLEBSIELLA OXYTOCA ,MEROPENEM,<=0.12,0.5-0.25,>=1
KLEBSIELLA OXYTOCA ,PIPERACILLIN/TAZO,<=7,8-15,>=16
KLEBSIELLA OXYTOCA ,TETRACYCLINE,<=2,4-7,>=8
KLEBSIELLA OXYTOCA ,TOBRAMYCIN,<=1,2-3,>=4
KLEBSIELLA OXYTOCA ,TRIMETHOPRIM/SULFA,<=1,2-3,>=4
KLEBSIELLA PNEUMONIAE,AMOXICILLIN CLAVULANIC ACID,<=2,4-7,>=8
KLEBSIELLA PNEUMONIAE,CEFAZOLIN,<=7,8-15,>=16
KLEBSIELLA PNEUMONIAE,CEFEPIME,<=3,4-7,>=8
KLEBSIELLA PNEUMONIAE,CEFIXIME,<=3,4-7,>=8
KLEBSIELLA PNEUMONIAE,CEFTAZIDIME,<=3,4-7,>=8
KLEBSIELLA PNEUMONIAE,CEFTRIAXONE,<=3,4-7,>=8
KLEBSIELLA PNEUMONIAE,CIPROFLOXACIN,<=0.25,0.5,>=1
KLEBSIELLA PNEUMONIAE,ERTAPENEM,<=0.12,0.25,>=0.5
KLEBSIELLA PNEUMONIAE,GENTAMICIN,<=1,2-3,>=4
KLEBSIELLA PNEUMONIAE,IMIPENEM,<=0.12,0.5-0.25,>=1
KLEBSIELLA PNEUMONIAE,LEVOFLOXACIN,<=0.5,1,>=2
KLEBSIELLA PNEUMONIAE,MEROPENEM,<=0.12,0.5-0.25,>=1
KLEBSIELLA PNEUMONIAE,PIPERACILLIN/TAZO,<=7,8-15,>=16
KLEBSIELLA PNEUMONIAE,TETRACYCLINE,<=2,4-7,>=8
KLEBSIELLA PNEUMONIAE,TOBRAMYCIN,<=1,2-3,>=4
KLEBSIELLA PNEUMONIAE,TRIMETHOPRIM/SULFA,<=1,2-3,>=4
PROTEUS MIRABILIS,AMOXICILLIN CLAVULANIC ACID,<=2,4-7,>=8
PROTEUS MIRABILIS,CEFAZOLIN,<=7,8-15,>=16
PROTEUS MIRABILIS,CEFEPIME,<=3,4-7,>=8
PROTEUS MIRABILIS,CEFIXIME,<=3,4-7,>=8
PROTEUS MIRABILIS,CEFTAZIDIME,<=3,4-7,>=8
PROTEUS MIRABILIS,CEFTRIAXONE,<=3,4-7,>=8
PROTEUS MIRABILIS,CIPROFLOXACIN,<=0.25,0.5,>=1
PROTEUS MIRABILIS,ERTAPENEM,<=0.12,0.25,>=0.5
PROTEUS MIRABILIS,GENTAMICIN,<=1,2-3,>=4
PROTEUS MIRABILIS,IMIPENEM,<=0.12,0.5-0.25,>=1
PROTEUS MIRABILIS,LEVOFLOXACIN,<=0.5,1,>=2
PROTEUS MIRABILIS,MEROPENEM,<=0.12,0.5-0.25,>=1
PROTEUS MIRABILIS,PIPERACILLIN/TAZO,<=7,8-15,>=16
PROTEUS MIRABILIS,TOBRAMYCIN,<=1,2-3,>=4
PROVIDENCIA RETTGERI,AMOXICILLIN CLAVULANIC ACID,<=32,>=16,>=8
PROVIDENCIA RETTGERI,AMPICILLIN,<=32,>=16,>=8
PROVIDENCIA RETTGERI,AMPICILLIN/SULBACTAM,<=32,>=16,>=8
PROVIDENCIA RETTGERI,CEFEPIME,<=32,>=16,>=8
PROVIDENCIA RETTGERI,CEFOXITIN,<=32,>=16,>=8
PROVIDENCIA RETTGERI,CEFTAZIDIME,<=32,>=16,>=8
PROVIDENCIA RETTGERI,CEFTRIAXONE,<=32,>=16,>=8
PROVIDENCIA RETTGERI,CIPROFLOXACIN,<=4,>=2,>=1
PROVIDENCIA RETTGERI,ERAPENEM,<=32,>=16,>=8
PROVIDENCIA RETTGERI,GENTAMICIN,<=16,>=8,>=4
PROVIDENCIA RETTGERI,IMIPENEM,<=16,>=8,>=4
PROVIDENCIA RETTGERI,MEROPENEM,<=32,>=16,>=8
PROVIDENCIA RETTGERI,NITROFURANTOIN,<=128,>=64,>=32
PROVIDENCIA RETTGERI,NORFLOXACIN,<=16,>=8,>=4
PROVIDENCIA RETTGERI,OFLOXACIN,<=8,>=4,>=2
PROVIDENCIA RETTGERI,PIPERACILLIN/TAZO,<=32,>=16,>=8
PROVIDENCIA RETTGERI,TETRACYCLINE,<=16,>=8,>=4
PROVIDENCIA RETTGERI,TOBRAMYCIN,<=16,>=8,>=4
PROVIDENCIA STUARTII,AMOXICILLIN CLAVULANIC ACID,<=32,>=16,>=8
PROVIDENCIA STUARTII,AMPICILLIN,<=32,>=16,>=8
PROVIDENCIA STUARTII,AMPICILLIN/SULBACTAM,<=32,>=16,>=8
PROVIDENCIA STUARTII,CEFEPIME,<=32,>=16,>=8
PROVIDENCIA STUARTII,CEFOXITIN,<=32,>=16,>=8
PROVIDENCIA STUARTII,CEFTAZIDIME,<=32,>=16,>=8
PROVIDENCIA STUARTII,CEFTRIAXONE,<=32,>=16,>=8
PROVIDENCIA STUARTII,CIPROFLOXACIN,<=4,>=2,>=1
PROVIDENCIA STUARTII,ERAPENEM,<=32,>=16,>=8
PROVIDENCIA STUARTII,GENTAMICIN,<=16,>=8,>=4
PROVIDENCIA STUARTII,IMIPENEM,<=16,>=8,>=4
PROVIDENCIA STUARTII,MEROPENEM,<=32,>=16,>=8
PROVIDENCIA STUARTII,NITROFURANTOIN,<=128,>=64,>=32
PROVIDENCIA STUARTII,NORFLOXACIN,<=16,>=8,>=4
PROVIDENCIA STUARTII,OFLOXACIN,<=8,>=4,>=2
PROVIDENCIA STUARTII,PIPERACILLIN/TAZO,<=32,>=16,>=8
PROVIDENCIA STUARTII,TETRACYCLINE,<=16,>=8,>=4
PROVIDENCIA STUARTII,TOBRAMYCIN,<=16,>=8,>=4
PSEUDOMONAS AERUGINOSA,AMOXICILLIN CLAVULANIC ACID,<=32,>=16,>=8
PSEUDOMONAS AERUGINOSA,AMPICILLIN,<=32,>=16,>=8
PSEUDOMONAS AERUGINOSA,AMPICILLIN/SULBACTAM,<=32,>=16,>=8
PSEUDOMONAS AERUGINOSA,CEFEPIME,<=32,>=16,>=8
PSEUDOMONAS AERUGINOSA,CEFOXITIN,<=32,>=16,>=8
PSEUDOMONAS AERUGINOSA,CEFTAZIDIME,<=32,>=16,>=8
PSEUDOMONAS AERUGINOSA,CEFTRIAXONE,<=32,>=16,>=8
PSEUDOMONAS AERUGINOSA,CIPROFLOXACIN,<=4,>=2,>=1
PSEUDOMONAS AERUGINOSA,ERAPENEM,<=32,>=16,>=8
PSEUDOMONAS AERUGINOSA,GENTAMICIN,<=16,>=8,>=4
PSEUDOMONAS AERUGINOSA,IMIPENEM,<=16,>=8,>=4
PSEUDOMONAS AERUGINOSA,MEROPENEM,<=32,>=16,>=8
PSEUDOMONAS AERUGINOSA,NITROFURANTOIN,<=128,>=64,>=32
PSEUDOMONAS AERUGINOSA,NORFLOXACIN,<=16,>=8,>=4
PSEUDOMONAS AERUGINOSA,OFLOXACIN,<=8,>=4,>=2
PSEUDOMONAS AERUGINOSA,PIPERACILLIN/TAZO,<=32,>=16,>=8
PSEUDOMONAS AERUGINOSA,TETRACYCLINE,<=16,>=8,>=4
PSEUDOMONAS AERUGINOSA,TOBRAMYCIN,<=16,>=8,>=4
SERRATIA MARCESCENS,AMOXICILLIN CLAVULANIC ACID,<=32,>=16,>=8
SERRATIA MARCESCENS,AMPICILLIN,<=32,>=16,>=8
SERRATIA MARCESCENS,AMPICILLIN/SULBACTAM,<=32,>=16,>=8
SERRATIA MARCESCENS,CEFEPIME,<=32,>=16,>=8
SERRATIA MARCESCENS,CEFOXITIN,<=32,>=16,>=8
SERRATIA MARCESCENS,CEFTAZIDIME,<=32,>=16,>=8
SERRATIA MARCESCENS,CEFTRIAXONE,<=32,>=16,>=8
SERRATIA MARCESCENS,CIPROFLOXACIN,<=4,>=2,>=1
SERRATIA MARCESCENS,ERAPENEM,<=32,>=16,>=8
SERRATIA MARCESCENS,GENTAMICIN,<=16,>=8,>=4
SERRATIA MARCESCENS,IMIPENEM,<=16,>=8,>=4
SERRATIA MARCESCENS,MEROPENEM,<=32,>=16,>=8
SERRATIA MARCESCENS,NITROFURANTOIN,<=128,>=64,>=32
SERRATIA MARCESCENS,NORFLOXACIN,<=16,>=8,>=4
SERRATIA MARCESCENS,OFLOXACIN,<=8,>=4,>=2
SERRATIA MARCESCENS,PIPERACILLIN/TAZO,<=32,>=16,>=8
SERRATIA MARCESCENS,TETRACYCLINE,<=16,>=8,>=4
SERRATIA MARCESCENS,TOBRAMYCIN,<=16,>=8,>=4
STAPHYLOCOCCUS AUREUS (COAGULASE POSITIVE),AMOXICILLIN CLAVULANIC ACID,<=32,>=16,>=8
STAPHYLOCOCCUS AUREUS (COAGULASE POSITIVE),AMPICILLIN,<=32,>=16,>=8
STAPHYLOCOCCUS AUREUS (COAGULASE POSITIVE),AMPICILLIN/SULBACTAM,<=32,>=16,>=8
STAPHYLOCOCCUS AUREUS (COAGULASE POSITIVE),CEFEPIME,<=32,>=16,>=8
STAPHYLOCOCCUS AUREUS (COAGULASE POSITIVE),CEFOXITIN,<=32,>=16,>=8
STAPHYLOCOCCUS AUREUS (COAGULASE POSITIVE),CEFTAZIDIME,<=32,>=16,>=8
STAPHYLOCOCCUS AUREUS (COAGULASE POSITIVE),CEFTRIAXONE,<=32,>=16,>=8
STAPHYLOCOCCUS AUREUS (COAGULASE POSITIVE),CIPROFLOXACIN,<=4,>=2,>=1
STAPHYLOCOCCUS AUREUS (COAGULASE POSITIVE),ERAPENEM,<=32,>=16,>=8
STAPHYLOCOCCUS AUREUS (COAGULASE POSITIVE),GENTAMICIN,<=16,>=8,>=4
STAPHYLOCOCCUS AUREUS (COAGULASE POSITIVE),IMIPENEM,<=16,>=8,>=4
STAPHYLOCOCCUS AUREUS (COAGULASE POSITIVE),MEROPENEM,<=32,>=16,>=8
STAPHYLOCOCCUS AUREUS (COAGULASE POSITIVE),NITROFURANTOIN,<=128,>=64,>=32
STAPHYLOCOCCUS AUREUS (COAGULASE POSITIVE),NORFLOXACIN,<=16,>=8,>=4
STAPHYLOCOCCUS AUREUS (COAGULASE POSITIVE),OFLOXACIN,<=8,>=4,>=2
STAPHYLOCOCCUS AUREUS (COAGULASE POSITIVE),PIPERACILLIN/TAZO,<=32,>=16,>=8
STAPHYLOCOCCUS AUREUS (COAGULASE POSITIVE),TETRACYCLINE,<=16,>=8,>=4
STAPHYLOCOCCUS AUREUS (COAGULASE POSITIVE),TOBRAMYCIN,<=16,>=8,>=4
STAPHYLOCOCCUS AUREUS (COAGULASE POSITIVE),VANCOMYCIN,<=4,>=2,>=1
