Name of the Bacteria,Antibiotic Prescribed,Sensitive (S),Intermediate (I),Resistance (R)
KLEBSIELLA PNEUMONIAE,CEFTRIAXONE,0,0,0
KLEBSIELLA PNEUMONIAE,CIPROFLOXACIN,0,0,0
KLEBSIELLA PNEUMONIAE,ERTAPENEM,0,0,0
KLEBSIELLA PNEUMONIAE,GENTAMICIN,0,0,0
KLEBSIELLA PNEUMONIAE,IMIPENEM,0,0,0
KLEBSIELLA PNEUMONIAE,LEVOFLOXACIN,0,0,0
KLEBSIELLA PNEUMONIAE,MEROPENEM,0,0,0
KLEBSIELLA PNEUMONIAE,PIPERACILLIN/TAZO,0,0,0
KLEBSIELLA PNEUMONIAE,TETRACYCLINE,0,0,0
KLEBSIELLA PNEUMONIAE,TOBRAMYCIN,0,0,0
KLEBSIELLA PNEUMONIAE,TRIMETHOPRIM/SULFA,0,0,0
PROTEUS MIRABILIS,AMOXICILLIN CLAVULANIC ACID,0,0,0
PROTEUS MIRABILIS,CEFAZOLIN,0,0,0
PROTEUS MIRABILIS,CEFEPIME,0,0,0
PROTEUS MIRABILIS,CEFIXIME,0,0,0
PROTEUS MIRABILIS,CEFTAZIDIME,0,0,0
PROTEUS MIRABILIS,CEFTRIAXONE,0,0,0
PROTEUS MIRABILIS,CIPROFLOXACIN,0,0,0
PROTEUS MIRABILIS,ERTAPENEM,0,0,0
PROTEUS MIRABILIS,GENTAMICIN,0,0,0
PROTEUS MIRABILIS,IMIPENEM,0,0,0
PROTEUS MIRABILIS,LEVOFLOXACIN,0,0,0
PROTEUS MIRABILIS,MEROPENEM,0,0,0
PROTEUS MIRABILIS,PIPERACILLIN/TAZO,0,0,0
PROTEUS MIRABILIS,TOBRAMYCIN,0,0,0
PROVIDENCIA RETTGERI,AMOXICILLIN CLAVULANIC ACID,0,0,0
PROVIDENCIA RETTGERI,AMPICILLIN,0,0,0
PROVIDENCIA RETTGERI,AMPICILLIN/SULBACTAM,0,0,0
PROVIDENCIA RETTGERI,CEFEPIME,0,0,0
PROVIDENCIA RETTGERI,CEFOXITIN,0,0,0
PROVIDENCIA RETTGERI,CEFTAZIDIME,0,0,0
PROVIDENCIA RETTGERI,CEFTRIAXONE,0,0,0
PROVIDENCIA RETTGERI,CIPROFLOXACIN,0,0,0
PROVIDENCIA RETTGERI,ERAPENEM,0,0,0
PROVIDENCIA RETTGERI,GENTAMICIN,0,0,0
PROVIDENCIA RETTGERI,IMIPENEM,0,0,0
PROVIDENCIA RETTGERI,MEROPENEM,0,0,0
PROVIDENCIA RETTGERI,NITROFURANTOIN,0,0,0
PROVIDENCIA RETTGERI,NORFLOXACIN,0,0,0
PROVIDENCIA RETTGERI,OFLOXACIN,0,0,0
PROVIDENCIA RETTGERI,PIPERACILLIN/TAZO,0,0,0
PROVIDENCIA RETTGERI,TETRACYCLINE,0,0,0
PROVIDENCIA RETTGERI,TOBRAMYCIN,0,0,0
PROVIDENCIA STUARTII,AMOXICILLIN CLAVULANIC ACID,0,0,0
PROVIDENCIA STUARTII,AMPICILLIN,0,0,0
PROVIDENCIA STUARTII,AMPICILLIN/SULBACTAM,0,0,0
PROVIDENCIA STUARTII,CEFEPIME,0,0,0
PROVIDENCIA STUARTII,CEFOXITIN,0,0,0
PROVIDENCIA STUARTII,CEFTAZIDIME,0,0,0
PROVIDENCIA STUARTII,CEFTRIAXONE,0,0,0
PROVIDENCIA STUARTII,CIPROFLOXACIN,0,0,0
PROVIDENCIA STUARTII,ERAPENEM,0,0,0
PROVIDENCIA STUARTII,GENTAMICIN,0,0,0
PROVIDENCIA STUARTII,IMIPENEM,0,0,0
PROVIDENCIA STUARTII,MEROPENEM,0,0,0
PROVIDENCIA STUARTII,NITROFURANTOIN,0,0,0
PROVIDENCIA STUARTII,NORFLOXACIN,0,0,0
PROVIDENCIA STUARTII,OFLOXACIN,0,0,0
PROVIDENCIA STUARTII,PIPERACILLIN/TAZO,0,0,0
PROVIDENCIA STUARTII,TETRACYCLINE,0,0,0
PROVIDENCIA STUARTII,TOBRAMYCIN,0,0,0
PSEUDOMONAS AERUGINOSA,AMOXICILLIN CLAVULANIC ACID,0,0,0
PSEUDOMONAS AERUGINOSA,AMPICILLIN,0,0,0
PSEUDOMONAS AERUGINOSA,AMPICILLIN/SULBACTAM,0,0,0
PSEUDOMONAS AERUGINOSA,CEFEPIME,0,0,0
PSEUDOMONAS AERUGINOSA,CEFOXITIN,0,0,0
PSEUDOMONAS AERUGINOSA,CEFTAZIDIME,0,0,0
PSEUDOMONAS AERUGINOSA,CEFTRIAXONE,0,0,0
PSEUDOMONAS AERUGINOSA,CIPROFLOXACIN,0,0,0
PSEUDOMONAS AERUGINOSA,ERAPENEM,0,0,0
PSEUDOMONAS AERUGINOSA,GENTAMICIN,0,0,0
PSEUDOMONAS AERUGINOSA,IMIPENEM,0,0,0
PSEUDOMONAS AERUGINOSA,MEROPENEM,0,0,0
PSEUDOMONAS AERUGINOSA,NITROFURANTOIN,0,0,0
PSEUDOMONAS AERUGINOSA,NORFLOXACIN,0,0,0
PSEUDOMONAS AERUGINOSA,OFLOXACIN,0,0,0
PSEUDOMONAS AERUGINOSA,PIPERACILLIN/TAZO,0,0,0
PSEUDOMONAS AERUGINOSA,TETRACYCLINE,0,0,0
PSEUDOMONAS AERUGINOSA,TOBRAMYCIN,0,0,0
SERRATIA MARCESCENS,AMOXICILLIN CLAVULANIC ACID,0,0,0
SERRATIA MARCESCENS,AMPICILLIN,0,0,0
SERRATIA MARCESCENS,AMPICILLIN/SULBACTAM,0,0,0
SERRATIA MARCESCENS,CEFEPIME,0,0,0
SERRATIA MARCESCENS,CEFOXITIN,0,0,0
SERRATIA MARCESCENS,CEFTAZIDIME,0,0,0
SERRATIA MARCESCENS,CEFTRIAXONE,0,0,0
SERRATIA MARCESCENS,CIPROFLOXACIN,0,0,0
SERRATIA MARCESCENS,ERAPENEM,0,0,0
SERRATIA MARCESCENS,GENTAMICIN,0,0,0
SERRATIA MARCESCENS,IMIPENEM,0,0,0
SERRATIA MARCESCENS,MEROPENEM,0,0,0
SERRATIA MARCESCENS,NITROFURANTOIN,0,0,0
SERRATIA MARCESCENS,NORFLOXACIN,0,0,0
SERRATIA MARCESCENS,OFLOXACIN,0,0,0
SERRATIA MARCESCENS,PIPERACILLIN/TAZO,0,0,0
SERRATIA MARCESCENS,TETRACYCLINE,0,0,0
SERRATIA MARCESCENS,TOBRAMYCIN,0,0,0
STAPHYLOCOCCUS AUREUS (COAGULASE POSITIVE),AMOXICILLIN CLAVULANIC ACID,0,0,0
STAPHYLOCOCCUS AUREUS (COAGULASE POSITIVE),AMPICILLIN,0,0,0
STAPHYLOCOCCUS AUREUS (COAGULASE POSITIVE),AMPICILLIN/SULBACTAM,0,0,0
STAPHYLOCOCCUS AUREUS (COAGULASE POSITIVE),CEFEPIME,0,0,0
STAPHYLOCOCCUS AUREUS (COAGULASE POSITIVE),CEFOXITIN,0,0,0
STAPHYLOCOCCUS AUREUS (COAGULASE POSITIVE),CEFTAZIDIME,0,0,0
STAPHYLOCOCCUS AUREUS (COAGULASE POSITIVE),CEFTRIAXONE,0,0,0
STAPHYLOCOCCUS AUREUS (COAGULASE POSITIVE),CIPROFLOXACIN,0,0,0
STAPHYLOCOCCUS AUREUS (COAGULASE POSITIVE),ERAPENEM,0,0,0
STAPHYLOCOCCUS AUREUS (COAGULASE POSITIVE),GENTAMICIN,0,0,0
STAPHYLOCOCCUS AUREUS (COAGULASE POSITIVE),IMIPENEM,0,0,0
STAPHYLOCOCCUS AUREUS (COAGULASE POSITIVE),MEROPENEM,0,0,0
STAPHYLOCOCCUS AUREUS (COAGULASE POSITIVE),NITROFURANTOIN,0,0,0
STAPHYLOCOCCUS AUREUS (COAGULASE POSITIVE),NORFLOXACIN,0,0,0
STAPHYLOCOCCUS AUREUS (COAGULASE POSITIVE),OFLOXACIN,0,0,0
STAPHYLOCOCCUS AUREUS (COAGULASE POSITIVE),PIPERACILLIN/TAZO,0,0,0
STAPHYLOCOCCUS AUREUS (COAGULASE POSITIVE),TETRACYCLINE,0,0,0
STAPHYLOCOCCUS AUREUS (COAGULASE POSITIVE),TOBRAMYCIN,0,0,0
STAPHYLOCOCCUS AUREUS (COAGULASE POSITIVE),VANCOMYCIN,0,0,0
