Name of the Bacteria,Antibiotic Prescribed,MIC Value,Interpretation
KLEBSIELLA PNEUMONIAE,CEFAZOLIN,4.0,S
KLEBSIELLA PNEUMONIAE,TOBRAMYCIN,1.0,S
KLEBSIELLA PNEUMONIAE,CEFTRIAXONE,1.0,S
KLEBSIELLA PNEUMONIAE,NITROFURANTOIN,32.0,S
ESCHERICHIA COLI,TOBRAMYCIN,1.0,S
ESCHERICHIA COLI,AMPICILLIN/SULBACTAM,32.0,R
ESCHERICHIA COLI,MEROPENEM,0.25,S
ESCHERICHIA COLI,CEFEPIME,1.0,S
ESCHERICHIA COLI,PIPERACILLIN/TAZO,4.0,S
ESCHERICHIA COLI,LEVOFLOXACIN,8.0,R
ESCHERICHIA COLI,AMPICILLIN,32.0,R
ESCHERICHIA COLI,CIPROFLOXACIN,4.0,R
ESCHERICHIA COLI,CEFAZOLIN,4.0,S
ESCHERICHIA COLI,TRIMETHOPRIM/SULFA,16.0,R
ESCHERICHIA COLI,NITROFURANTOIN,16.0,S
ESCHERICHIA COLI,GENTAMICIN,1.0,S
ESCHERICHIA COLI,CEFTRIAXONE,1.0,S
ESCHERICHIA COLI,CEFTAZIDIME,1.0,S
KLEBSIELLA OXYTOCA,MEROPENEM,0.25,S
KLEBSIELLA OXYTOCA,CEFTRIAXONE,1.0,S
KLEBSIELLA OXYTOCA,IMIPENEM,1.0,S
KLEBSIELLA OXYTOCA,TOBRAMYCIN,1.0,S
KLEBSIELLA OXYTOCA,GENTAMICIN,1.0,S
KLEBSIELLA OXYTOCA,NITROFURANTOIN,32.0,S
KLEBSIELLA OXYTOCA,TRIMETHOPRIM/SULFA,1.0,S
KLEBSIELLA OXYTOCA,CEFEPIME,1.0,S
KLEBSIELLA OXYTOCA,CEFTAZIDIME,1.0,S
KLEBSIELLA OXYTOCA,CEFUROXIME,4.0,S
KLEBSIELLA OXYTOCA,PIPERACILLIN/TAZO,4.0,S
KLEBSIELLA OXYTOCA,CIPROFLOXACIN,0.25,S
STAPH AUREUS COAG +,NITROFURANTOIN,16.0,S
STAPH AUREUS COAG +,GENTAMICIN,0.5,S
STAPH AUREUS COAG +,OXACILLIN,0.5,S
STAPH AUREUS COAG +,LEVOFLOXACIN,8.0,R
STAPH AUREUS COAG +,PENICILLIN,0.5,R
ESCHERICHIA COLI,AMPICILLIN/SULBACTAM,8.0,S
ESCHERICHIA COLI,CEFTRIAXONE,1.0,S
ESCHERICHIA COLI,CEFTAZIDIME,1.0,S
ESCHERICHIA COLI,TOBRAMYCIN,1.0,S
ESCHERICHIA COLI,CIPROFLOXACIN,4.0,R
ESCHERICHIA COLI,GENTAMICIN,1.0,S
ESCHERICHIA COLI,CEFUROXIME,4.0,S
ESCHERICHIA COLI,CEFEPIME,1.0,S
ESCHERICHIA COLI,AMPICILLIN,32.0,R
ESCHERICHIA COLI,CEFAZOLIN,4.0,S
ESCHERICHIA COLI,TRIMETHOPRIM/SULFA,16.0,R
ESCHERICHIA COLI,NITROFURANTOIN,16.0,S
ESCHERICHIA COLI,MEROPENEM,0.25,S
ESCHERICHIA COLI,PIPERACILLIN/TAZO,4.0,S
PROVIDENCIA STUARTII,CEFTAZIDIME,1.0,S
PROVIDENCIA STUARTII,TRIMETHOPRIM/SULFA,1.0,S
PROVIDENCIA STUARTII,NITROFURANTOIN,128.0,R
PROVIDENCIA STUARTII,AMIKACIN,2.0,S
PROVIDENCIA STUARTII,CEFEPIME,1.0,S
PROVIDENCIA STUARTII,CIPROFLOXACIN,4.0,R
PROVIDENCIA STUARTII,PIPERACILLIN/TAZO,8.0,S
PROVIDENCIA STUARTII,MEROPENEM,0.25,S
PROVIDENCIA STUARTII,CEFTRIAXONE,1.0,S
PROTEUS MIRABILIS,CEFEPIME,1.0,S
PROTEUS MIRABILIS,CIPROFLOXACIN,4.0,R
PROTEUS MIRABILIS,CEFTAZIDIME,1.0,S
PROTEUS MIRABILIS,MEROPENEM,0.25,S
PROTEUS MIRABILIS,CEFAZOLIN,8.0,S
PROTEUS MIRABILIS,AMPICILLIN,32.0,R
PROTEUS MIRABILIS,TOBRAMYCIN,4.0,S
PROTEUS MIRABILIS,CEFTRIAXONE,1.0,S
PROTEUS MIRABILIS,TRIMETHOPRIM/SULFA,16.0,R
PROTEUS MIRABILIS,CEFEPIME,1.0,S
PROTEUS MIRABILIS,CEFAZOLIN,8.0,S
KLEBSIELLA PNEUMONIAE,TRIMETHOPRIM/SULFA,16.0,R
KLEBSIELLA PNEUMONIAE,MEROPENEM,0.25,S
KLEBSIELLA PNEUMONIAE,AMIKACIN,2.0,S
KLEBSIELLA PNEUMONIAE,NITROFURANTOIN,32.0,S
KLEBSIELLA PNEUMONIAE,GENTAMICIN,16.0,R
KLEBSIELLA PNEUMONIAE,TOBRAMYCIN,16.0,R
KLEBSIELLA PNEUMONIAE,CEFTAZIDIME,64.0,R
KLEBSIELLA PNEUMONIAE,CIPROFLOXACIN,1.0,S
KLEBSIELLA PNEUMONIAE,AMPICILLIN/SULBACTAM,8.0,S
PROTEUS MIRABILIS,TOBRAMYCIN,2.0,S
PROTEUS MIRABILIS,CEFTRIAXONE,1.0,S
PROTEUS MIRABILIS,MEROPENEM,0.25,S
PROTEUS MIRABILIS,AMPICILLIN,32.0,R
PROTEUS MIRABILIS,TRIMETHOPRIM/SULFA,16.0,R
PROTEUS MIRABILIS,CEFTAZIDIME,1.0,S
PROTEUS MIRABILIS,CIPROFLOXACIN,4.0,R
PROTEUS MIRABILIS,CEFAZOLIN,8.0,R
PROTEUS MIRABILIS,AMPICILLIN,32.0,R
PROTEUS MIRABILIS,TRIMETHOPRIM/SULFA,16.0,R
PROTEUS MIRABILIS,TOBRAMYCIN,2.0,S
PROTEUS MIRABILIS,CEFTAZIDIME,1.0,S
PROTEUS MIRABILIS,CIPROFLOXACIN,4.0,R
PROTEUS MIRABILIS,CEFEPIME,1.0,S
PROTEUS MIRABILIS,CEFTRIAXONE,1.0,S
PROTEUS MIRABILIS,MEROPENEM,0.25,S
PROTEUS MIRABILIS,TRIMETHOPRIM/SULFA,16.0,R
PROTEUS MIRABILIS,CEFAZOLIN,16.0,R
PROTEUS MIRABILIS,CEFTRIAXONE,1.0,S
PROTEUS MIRABILIS,CEFEPIME,1.0,S
PROTEUS MIRABILIS,AMPICILLIN,32.0,R
PROTEUS MIRABILIS,MEROPENEM,0.25,S
PROTEUS MIRABILIS,CIPROFLOXACIN,4.0,R
PROTEUS MIRABILIS,TOBRAMYCIN,2.0,S
PROTEUS MIRABILIS,CEFTAZIDIME,1.0,S
PSEUDOMONAS AERUGINOSA,TOBRAMYCIN,1.0,S
PSEUDOMONAS AERUGINOSA,CEFEPIME,8.0,S
PSEUDOMONAS AERUGINOSA,CEFTAZIDIME,4.0,S
ENTEROCOCCUS SP.,AMPICILLIN,32.0,R
ENTEROCOCCUS SP.,NITROFURANTOIN,256.0,R
ENTEROCOCCUS SP.,TETRACYCLINE,16.0,R
ENTEROCOCCUS SP.,VANCOMYCIN,32.0,R
ENTEROCOCCUS SP.,LINEZOLID,2.0,S
PSEUDOMONAS AERUGINOSA,GENTAMICIN,4.0,S
PSEUDOMONAS AERUGINOSA,TOBRAMYCIN,1.0,S
PSEUDOMONAS AERUGINOSA,CEFEPIME,8.0,S
PSEUDOMONAS AERUGINOSA,CEFTAZIDIME,4.0,S
PROVIDENCIA RETTGERI,CEFEPIME,1.0,S
PROVIDENCIA RETTGERI,NITROFURANTOIN,256.0,R
PROVIDENCIA RETTGERI,TRIMETHOPRIM/SULFA,1.0,S
PROTEUS MIRABILIS,CEFAZOLIN,8.0,R
PROTEUS MIRABILIS,MEROPENEM,1.0,S
PROTEUS MIRABILIS,CEFEPIME,1.0,R
PROTEUS MIRABILIS,AMPICILLIN/SULBACTAM,32.0,R
PROTEUS MIRABILIS,CIPROFLOXACIN,4.0,R
PROTEUS MIRABILIS,CEFTRIAXONE,1.0,S
PROTEUS MIRABILIS,CEFTAZIDIME,1.0,S
PROTEUS MIRABILIS,AMIKACIN,2.0,S
PROTEUS MIRABILIS,TRIMETHOPRIM/SULFA,16.0,R
PROTEUS MIRABILIS,AMPICILLIN,32.0,R
PSEUDOMONAS AERUGINOSA,GENTAMICIN,4.0,S
PROVIDENCIA RETTGERI,CEFTAZIDIME,1.0,S
PROVIDENCIA RETTGERI,AMIKACIN,2.0,S
PROVIDENCIA RETTGERI,MEROPENEM,0.25,S
PSEUDOMONAS AERUGINOSA,TOBRAMYCIN,1.0,S
PSEUDOMONAS AERUGINOSA,CEFTAZIDIME,4.0,S
PSEUDOMONAS AERUGINOSA,CEFEPIME,8.0,S
PSEUDOMONAS AERUGINOSA,MEROPENEM,8.0,R
KLEBSIELLA PNEUMONIAE,MEROPENEM,0.25,S
KLEBSIELLA PNEUMONIAE,GENTAMICIN,1.0,S
KLEBSIELLA PNEUMONIAE,TOBRAMYCIN,1.0,S
KLEBSIELLA PNEUMONIAE,CEFTAZIDIME,1.0,S
KLEBSIELLA PNEUMONIAE,CEFTRIAXONE,1.0,S
KLEBSIELLA PNEUMONIAE,CIPROFLOXACIN,0.25,S
KLEBSIELLA PNEUMONIAE,CEFEPIME,1.0,S
KLEBSIELLA PNEUMONIAE,CEFAZOLIN,4.0,S
KLEBSIELLA PNEUMONIAE,TRIMETHOPRIM/SULFA,1.0,S
KLEBSIELLA PNEUMONIAE,AMPICILLIN/SULBACTAM,4.0,S
PROVIDENCIA RETTGERI,CIPROFLOXACIN,0.25,S
PROVIDENCIA RETTGERI,CEFTRIAXONE,1.0,S
ESCHERICHIA COLI,CEFAZOLIN,4.0,S
ESCHERICHIA COLI,AMPICILLIN,32.0,R
ESCHERICHIA COLI,MEROPENEM,0.25,S
ESCHERICHIA COLI,CEFEPIME,1.0,S
ESCHERICHIA COLI,NITROFURANTOIN,16.0,S
ESCHERICHIA COLI,CEFUROXIME,4.0,S
ESCHERICHIA COLI,TRIMETHOPRIM/SULFA,1.0,S
ESCHERICHIA COLI,CIPROFLOXACIN,4.0,R
ESCHERICHIA COLI,CEFTRIAXONE,1.0,S
ESCHERICHIA COLI,CEFTAZIDIME,1.0,S
ESCHERICHIA COLI,GENTAMICIN,1.0,S
ESCHERICHIA COLI,TOBRAMYCIN,1.0,S
ESCHERICHIA COLI,PIPERACILLIN/TAZO,4.0,S
ESCHERICHIA COLI,NITROFURANTOIN,16.0,S
ESCHERICHIA COLI,PIPERACILLIN/TAZO,4.0,S
ESCHERICHIA COLI,MEROPENEM,0.25,S
ESCHERICHIA COLI,CEFEPIME,1.0,S
ESCHERICHIA COLI,CEFTRIAXONE,1.0,S
ESCHERICHIA COLI,AMPICILLIN,32.0,R
ESCHERICHIA COLI,CEFUROXIME,4.0,S
ESCHERICHIA COLI,AMPICILLIN/SULBACTAM,32.0,R
ESCHERICHIA COLI,CEFAZOLIN,4.0,S
ESCHERICHIA COLI,CEFTAZIDIME,1.0,S
ESCHERICHIA COLI,CIPROFLOXACIN,0.25,S
ESCHERICHIA COLI,TOBRAMYCIN,1.0,S
ESCHERICHIA COLI,GENTAMICIN,1.0,S
ESCHERICHIA COLI,TRIMETHOPRIM/SULFA,1.0,S
KLEBSIELLA PNEUMONIAE,AMPICILLIN/SULBACTAM,4.0,S
KLEBSIELLA PNEUMONIAE,CEFUROXIME,1.0,S
KLEBSIELLA PNEUMONIAE,CEFEPIME,1.0,S
KLEBSIELLA PNEUMONIAE,CEFTRIAXONE,1.0,S
KLEBSIELLA PNEUMONIAE,PIPERACILLIN/TAZO,4.0,S
KLEBSIELLA PNEUMONIAE,TOBRAMYCIN,1.0,S
KLEBSIELLA PNEUMONIAE,CEFTAZIDIME,1.0,S
KLEBSIELLA PNEUMONIAE,GENTAMICIN,1.0,S
KLEBSIELLA PNEUMONIAE,TRIMETHOPRIM/SULFA,1.0,S
KLEBSIELLA PNEUMONIAE,CEFAZOLIN,4.0,S
KLEBSIELLA PNEUMONIAE,TOBRAMYCIN,1.0,S
KLEBSIELLA PNEUMONIAE,MEROPENEM,0.25,S
KLEBSIELLA PNEUMONIAE,CEFEPIME,1.0,S
KLEBSIELLA PNEUMONIAE,PIPERACILLIN/TAZO,4.0,S
KLEBSIELLA PNEUMONIAE,CEFUROXIME,1.0,S
KLEBSIELLA PNEUMONIAE,AMPICILLIN/SULBACTAM,4.0,S
KLEBSIELLA PNEUMONIAE,CIPROFLOXACIN,0.25,S
KLEBSIELLA PNEUMONIAE,CEFTRIAXONE,1.0,S
KLEBSIELLA PNEUMONIAE,CEFTAZIDIME,1.0,S
KLEBSIELLA PNEUMONIAE,GENTAMICIN,1.0,S
KLEBSIELLA PNEUMONIAE,CEFAZOLIN,4.0,S
KLEBSIELLA PNEUMONIAE,TRIMETHOPRIM/SULFA,1.0,S
KLEBSIELLA PNEUMONIAE,MEROPENEM,0.25,S
KLEBSIELLA PNEUMONIAE,CIPROFLOXACIN,0.25,S
STAPH AUREUS COAG +,LEVOFLOXACIN,0.12,S
STAPH AUREUS COAG +,TRIMETHOPRIM/SULFA,0.5,S
STAPH AUREUS COAG +,NITROFURANTOIN,16.0,S
STAPH AUREUS COAG +,GENTAMICIN,0.5,S
STAPH AUREUS COAG +,OXACILLIN,0.25,S
ESCHERICHIA COLI,NITROFURANTOIN,16.0,S
ESCHERICHIA COLI,CEFAZOLIN,4.0,S
ESCHERICHIA COLI,MEROPENEM,0.25,S
ESCHERICHIA COLI,CEFEPIME,1.0,S
ESCHERICHIA COLI,PIPERACILLIN/TAZO,4.0,S
ESCHERICHIA COLI,CEFUROXIME,1.0,S
ESCHERICHIA COLI,AMPICILLIN,32.0,R
ESCHERICHIA COLI,CIPROFLOXACIN,0.25,S
ESCHERICHIA COLI,CEFTRIAXONE,1.0,S
ESCHERICHIA COLI,CEFTAZIDIME,1.0,S
ESCHERICHIA COLI,TOBRAMYCIN,1.0,S
ESCHERICHIA COLI,GENTAMICIN,1.0,S
ESCHERICHIA COLI,TRIMETHOPRIM/SULFA,1.0,S
ESCHERICHIA COLI,AMPICILLIN,32.0,R
ESCHERICHIA COLI,AMOXICILLIN CLAVULANIC ACID,32.0,R
ESCHERICHIA COLI,TICARCILLIN  ,128.0,R
ESCHERICHIA COLI,PIPERACILLIN/TAZO,128.0,R
ESCHERICHIA COLI,CEFALOTIN,64.0,R
ESCHERICHIA COLI,CEFOXITIN,64.0,R
ESCHERICHIA COLI,CEFIXIME,4.0,R
ESCHERICHIA COLI,CEFTAZIDIME,64.0,R
ESCHERICHIA COLI,CEFTRIAXONE,64.0,R
ESCHERICHIA COLI,ERTAPENEM,0.5,S
ESCHERICHIA COLI,AMIKACIN,2.0,S
ESCHERICHIA COLI,GENTAMICIN,1.0,S
ESCHERICHIA COLI,CIPROFLOXACIN,4.0,R
ESCHERICHIA COLI,NORFLOXACIN,16.0,R
ESCHERICHIA COLI,OFLOXACIN,8.0,R
ESCHERICHIA COLI,TRIMETHOPRIM/SULFA,20.0,S
PROTEUS MIRABILIS,AMPICILLIN,32.0,R
PROTEUS MIRABILIS,TICARCILLIN  ,128.0,R
PROTEUS MIRABILIS,PIPERACILLIN/TAZO,4.0,S
PROTEUS MIRABILIS,CEFALOTIN,64.0,R
PROTEUS MIRABILIS,CEFIXIME,4.0,R
PROTEUS MIRABILIS,CEFTAZIDIME,64.0,R
PROTEUS MIRABILIS,CEFTRIAXONE,64.0,R
PROTEUS MIRABILIS,AMIKACIN,32.0,R
PROTEUS MIRABILIS,GENTAMICIN,16.0,R
PROTEUS MIRABILIS,CIPROFLOXACIN,4.0,R
PROTEUS MIRABILIS,NORFLOXACIN,16.0,R
PROTEUS MIRABILIS,OFLOXACIN,8.0,R
PROTEUS MIRABILIS,NITROFURANTOIN,128.0,R
PROTEUS MIRABILIS,TRIMETHOPRIM/SULFA,320.0,R
PROTEUS MIRABILIS,AMPICILLIN,32.0,R
PROTEUS MIRABILIS,TICARCILLIN  ,128.0,R
PROTEUS MIRABILIS,PIPERACILLIN/TAZO,4.0,S
PROTEUS MIRABILIS,CEFALOTIN,64.0,R
PROTEUS MIRABILIS,CEFIXIME,4.0,R
PROTEUS MIRABILIS,CEFTAZIDIME,64.0,R
PROTEUS MIRABILIS,CEFTRIAXONE,8.0,R
PROTEUS MIRABILIS,ERTAPENEM,0.5,S
PROTEUS MIRABILIS,AMIKACIN,16.0,R
PROTEUS MIRABILIS,GENTAMICIN,16.0,R
PROTEUS MIRABILIS,NALIDIXIC ACID,32.0,R
PROTEUS MIRABILIS,CIPROFLOXACIN,4.0,R
PROTEUS MIRABILIS,NORFLOXACIN,16.0,R
PROTEUS MIRABILIS,OFLOXACIN,8.0,R
PROTEUS MIRABILIS,NITROFURANTOIN,128.0,R
PROTEUS MIRABILIS,TRIMETHOPRIM/SULFA,320.0,R
ESCHERICHIA COLI,AMPICILLIN,32.0,R
ESCHERICHIA COLI,TICARCILLIN  ,128.0,R
ESCHERICHIA COLI,PIPERACILLIN/TAZO,8.0,S
ESCHERICHIA COLI,CEFALOTIN,64.0,R
ESCHERICHIA COLI,CEFOXITIN,32.0,R
ESCHERICHIA COLI,CEFIXIME,4.0,R
ESCHERICHIA COLI,CEFTAZIDIME,16.0,R
ESCHERICHIA COLI,CEFTRIAXONE,64.0,R
ESCHERICHIA COLI,ERTAPENEM,0.5,S
ESCHERICHIA COLI,AMIKACIN,4.0,S
ESCHERICHIA COLI,GENTAMICIN,16.0,R
ESCHERICHIA COLI,CIPROFLOXACIN,4.0,R
ESCHERICHIA COLI,NORFLOXACIN,16.0,R
ESCHERICHIA COLI,OFLOXACIN,8.0,R
ESCHERICHIA COLI,NITROFURANTOIN,16.0,S
ESCHERICHIA COLI,TRIMETHOPRIM/SULFA,320.0,R
ESCHERICHIA COLI,AMPICILLIN,32.0,R
ESCHERICHIA COLI,AMOXICILLIN CLAVULANIC ACID,32.0,R
ESCHERICHIA COLI,TICARCILLIN  ,128.0,R
ESCHERICHIA COLI,PIPERACILLIN/TAZO,8.0,S
ESCHERICHIA COLI,CEFALOTIN,64.0,R
ESCHERICHIA COLI,CEFOXITIN,64.0,R
ESCHERICHIA COLI,CEFIXIME,4.0,R
ESCHERICHIA COLI,CEFTAZIDIME,64.0,R
ESCHERICHIA COLI,CEFTRIAXONE,64.0,R
ESCHERICHIA COLI,ERTAPENEM,0.5,S
ESCHERICHIA COLI,GENTAMICIN,1.0,S
ESCHERICHIA COLI,CIPROFLOXACIN,4.0,R
ESCHERICHIA COLI,NORFLOXACIN,16.0,R
ESCHERICHIA COLI,OFLOXACIN,8.0,R
ESCHERICHIA COLI,NITROFURANTOIN,16.0,S
ESCHERICHIA COLI,TRIMETHOPRIM/SULFA,320.0,R
KLEBSIELLA PNEUMONIAE,AMOXICILLIN CLAVULANIC ACID,8.0,S
KLEBSIELLA PNEUMONIAE,PIPERACILLIN/TAZO,4.0,S
KLEBSIELLA PNEUMONIAE,CEFALOTIN,64.0,R
KLEBSIELLA PNEUMONIAE,CEFOXITIN,4.0,S
KLEBSIELLA PNEUMONIAE,CEFIXIME,4.0,R
KLEBSIELLA PNEUMONIAE,CEFTAZIDIME,16.0,R
KLEBSIELLA PNEUMONIAE,CEFTRIAXONE,64.0,R
KLEBSIELLA PNEUMONIAE,ERTAPENEM,0.5,S
KLEBSIELLA PNEUMONIAE,AMIKACIN,2.0,S
KLEBSIELLA PNEUMONIAE,GENTAMICIN,1.0,S
KLEBSIELLA PNEUMONIAE,NORFLOXACIN,2.0,S
KLEBSIELLA PNEUMONIAE,OFLOXACIN,2.0,S
KLEBSIELLA PNEUMONIAE,TRIMETHOPRIM/SULFA,20.0,S
ESCHERICHIA COLI,AMPICILLIN,32.0,R
ESCHERICHIA COLI,AMOXICILLIN CLAVULANIC ACID,32.0,R
ESCHERICHIA COLI,TICARCILLIN  ,128.0,R
ESCHERICHIA COLI,PIPERACILLIN/TAZO,128.0,R
ESCHERICHIA COLI,CEFALOTIN,64.0,R
ESCHERICHIA COLI,CEFOXITIN,64.0,R
ESCHERICHIA COLI,CEFIXIME,4.0,R
ESCHERICHIA COLI,CEFTAZIDIME,64.0,R
ESCHERICHIA COLI,CEFTRIAXONE,64.0,R
ESCHERICHIA COLI,ERTAPENEM,8.0,R
ESCHERICHIA COLI,AMIKACIN,2.0,S
ESCHERICHIA COLI,GENTAMICIN,2.0,S
ESCHERICHIA COLI,CIPROFLOXACIN,4.0,R
ESCHERICHIA COLI,NORFLOXACIN,16.0,R
ESCHERICHIA COLI,OFLOXACIN,8.0,R
ESCHERICHIA COLI,TRIMETHOPRIM/SULFA,320.0,R
ESCHERICHIA COLI,AMPICILLIN,32.0,R
ESCHERICHIA COLI,AMOXICILLIN CLAVULANIC ACID,32.0,R
ESCHERICHIA COLI,TICARCILLIN  ,128.0,R
ESCHERICHIA COLI,PIPERACILLIN/TAZO,128.0,R
ESCHERICHIA COLI,CEFALOTIN,64.0,R
ESCHERICHIA COLI,CEFOXITIN,64.0,R
ESCHERICHIA COLI,CEFIXIME,4.0,R
ESCHERICHIA COLI,CEFTAZIDIME,64.0,R
ESCHERICHIA COLI,CEFTRIAXONE,64.0,R
ESCHERICHIA COLI,ERTAPENEM,8.0,R
ESCHERICHIA COLI,AMIKACIN,64.0,R
ESCHERICHIA COLI,GENTAMICIN,16.0,R
ESCHERICHIA COLI,NALIDIXIC ACID,32.0,R
ESCHERICHIA COLI,CIPROFLOXACIN,4.0,R
ESCHERICHIA COLI,NORFLOXACIN,16.0,R
ESCHERICHIA COLI,OFLOXACIN,8.0,R
ESCHERICHIA COLI,TRIMETHOPRIM/SULFA,320.0,R
ESCHERICHIA COLI,AMPICILLIN,32.0,R
ESCHERICHIA COLI,AMOXICILLIN CLAVULANIC ACID,32.0,R
ESCHERICHIA COLI,TICARCILLIN  ,128.0,R
ESCHERICHIA COLI,PIPERACILLIN/TAZO,128.0,R
ESCHERICHIA COLI,CEFALOTIN,64.0,R
ESCHERICHIA COLI,CEFOXITIN,64.0,R
ESCHERICHIA COLI,CEFIXIME,4.0,R
ESCHERICHIA COLI,CEFTAZIDIME,64.0,R
ESCHERICHIA COLI,CEFTRIAXONE,64.0,R
ESCHERICHIA COLI,ERTAPENEM,8.0,R
ESCHERICHIA COLI,AMIKACIN,64.0,R
ESCHERICHIA COLI,GENTAMICIN,16.0,R
ESCHERICHIA COLI,CIPROFLOXACIN,4.0,R
ESCHERICHIA COLI,NORFLOXACIN,16.0,R
ESCHERICHIA COLI,OFLOXACIN,8.0,R
ESCHERICHIA COLI,NITROFURANTOIN,128.0,R
ESCHERICHIA COLI,TRIMETHOPRIM/SULFA,320.0,R
ESCHERICHIA COLI,AMPICILLIN,32.0,R
ESCHERICHIA COLI,AMOXICILLIN CLAVULANIC ACID,32.0,R
ESCHERICHIA COLI,TICARCILLIN  ,128.0,R
ESCHERICHIA COLI,PIPERACILLIN/TAZO,128.0,R
ESCHERICHIA COLI,CEFALOTIN,64.0,R
ESCHERICHIA COLI,CEFOXITIN,64.0,R
ESCHERICHIA COLI,CEFIXIME,4.0,R
