Name of the Bacteria ,Antibiotic Prescribed,Sensitive (S),Intermediate (I),Resistance (R)
PROVIDENCIA STUARTII,TOBRAMYCIN,>=4,>=8,<=16
PSEUDOMONAS AERUGINOSA,AMOXICILLIN CLAVULANIC ACID,>=8,>=16,<=32
PSEUDOMONAS AERUGINOSA,AMPICILLIN,>=8,>=16,<=32
PSEUDOMONAS AERUGINOSA,AMPICILLIN/SULBACTAM,>=8,>=16,<=32
PSEUDOMONAS AERUGINOSA,CEFEPIME,>=8,>=16,<=32
PSEUDOMONAS AERUGINOSA,CEFOXITIN,>=8,>=16,<=32
PSEUDOMONAS AERUGINOSA,CEFTAZIDIME,>=8,>=16,<=32
PSEUDOMONAS AERUGINOSA,CEFTRIAXONE,>=8,>=16,<=32
PSEUDOMONAS AERUGINOSA,CIPROFLOXACIN,>=1,>=2,<=4
PSEUDOMONAS AERUGINOSA,ERAPENEM,>=8,>=16,<=32
PSEUDOMONAS AERUGINOSA,GENTAMICIN,>=4,>=8,<=16
PSEUDOMONAS AERUGINOSA,IMIPENEM,>=4,>=8,<=16
PSEUDOMONAS AERUGINOSA,MEROPENEM,>=8,>=16,<=32
PSEUDOMONAS AERUGINOSA,NITROFURANTOIN,>=32,>=64,<=128
PSEUDOMONAS AERUGINOSA,NORFLOXACIN,>=4,>=8,<=16
PSEUDOMONAS AERUGINOSA,OFLOXACIN,>=2,>=4,<=8
PSEUDOMONAS AERUGINOSA,PIPERACILLIN/TAZO,>=8,>=16,<=32
PSEUDOMONAS AERUGINOSA,TETRACYCLINE,>=4,>=8,<=16
PSEUDOMONAS AERUGINOSA,TOBRAMYCIN,>=4,>=8,<=16
SERRATIA MARCESCENS,AMOXICILLIN CLAVULANIC ACID,>=8,>=16,<=32
SERRATIA MARCESCENS,AMPICILLIN,>=8,>=16,<=32
SERRATIA MARCESCENS,AMPICILLIN/SULBACTAM,>=8,>=16,<=32
SERRATIA MARCESCENS,CEFEPIME,>=8,>=16,<=32
SERRATIA MARCESCENS,CEFOXITIN,>=8,>=16,<=32
SERRATIA MARCESCENS,CEFTAZIDIME,>=8,>=16,<=32
SERRATIA MARCESCENS,CEFTRIAXONE,>=8,>=16,<=32
SERRATIA MARCESCENS,CIPROFLOXACIN,>=1,>=2,<=4
SERRATIA MARCESCENS,ERAPENEM,>=8,>=16,<=32
SERRATIA MARCESCENS,GENTAMICIN,>=4,>=8,<=16
SERRATIA MARCESCENS,IMIPENEM,>=4,>=8,<=16
SERRATIA MARCESCENS,MEROPENEM,>=8,>=16,<=32
SERRATIA MARCESCENS,NITROFURANTOIN,>=32,>=64,<=128
SERRATIA MARCESCENS,NORFLOXACIN,>=4,>=8,<=16
SERRATIA MARCESCENS,OFLOXACIN,>=2,>=4,<=8
SERRATIA MARCESCENS,PIPERACILLIN/TAZO,>=8,>=16,<=32
SERRATIA MARCESCENS,TETRACYCLINE,>=4,>=8,<=16
SERRATIA MARCESCENS,TOBRAMYCIN,>=4,>=8,<=16
STAPHYLOCOCCUS AUREUS (COAGULASE POSITIVE),AMOXICILLIN CLAVULANIC ACID,>=8,>=16,<=32
STAPHYLOCOCCUS AUREUS (COAGULASE POSITIVE),AMPICILLIN,>=8,>=16,<=32
STAPHYLOCOCCUS AUREUS (COAGULASE POSITIVE),AMPICILLIN/SULBACTAM,>=8,>=16,<=32
STAPHYLOCOCCUS AUREUS (COAGULASE POSITIVE),CEFEPIME,>=8,>=16,<=32
STAPHYLOCOCCUS AUREUS (COAGULASE POSITIVE),CEFOXITIN,>=8,>=16,<=32
STAPHYLOCOCCUS AUREUS (COAGULASE POSITIVE),CEFTAZIDIME,>=8,>=16,<=32
STAPHYLOCOCCUS AUREUS (COAGULASE POSITIVE),CEFTRIAXONE,>=8,>=16,<=32
STAPHYLOCOCCUS AUREUS (COAGULASE POSITIVE),CIPROFLOXACIN,>=1,>=2,<=4
STAPHYLOCOCCUS AUREUS (COAGULASE POSITIVE),ERAPENEM,>=8,>=16,<=32
STAPHYLOCOCCUS AUREUS (COAGULASE POSITIVE),GENTAMICIN,>=4,>=8,<=16
STAPHYLOCOCCUS AUREUS (COAGULASE POSITIVE),IMIPENEM,>=4,>=8,<=16
STAPHYLOCOCCUS AUREUS (COAGULASE POSITIVE),MEROPENEM,>=8,>=16,<=32
STAPHYLOCOCCUS AUREUS (COAGULASE POSITIVE),NITROFURANTOIN,>=32,>=64,<=128
STAPHYLOCOCCUS AUREUS (COAGULASE POSITIVE),NORFLOXACIN,>=4,>=8,<=16
STAPHYLOCOCCUS AUREUS (COAGULASE POSITIVE),OFLOXACIN,>=2,>=4,<=8
STAPHYLOCOCCUS AUREUS (COAGULASE POSITIVE),PIPERACILLIN/TAZO,>=8,>=16,<=32
STAPHYLOCOCCUS AUREUS (COAGULASE POSITIVE),TETRACYCLINE,>=4,>=8,<=16
STAPHYLOCOCCUS AUREUS (COAGULASE POSITIVE),TOBRAMYCIN,>=4,>=8,<=16
STAPHYLOCOCCUS AUREUS (COAGULASE POSITIVE),VANCOMYCIN,>=1,>=2,<=4
